Year,Refugee
1951,2116011
1952,1952928
1953,1847304
1954,1749628
1955,1717966
1956,1767975
1957,1742514
1958,1698310
1959,1674185
1960,1656664
1961,1789067
1962,1765622
1963,1682403
1964,3079949
1965,3531615
1966,3501013
1967,2356991
1968,2463736
1969,2531177
1970,2464730
1971,3279710
1972,3251850
1973,2901335
1974,2994463
1975,3529434
1976,4270631
1977,4518659
1978,5065844
1979,6279912
1980,8454917
1981,9714297
1982,10319353
1983,10620784
1984,10728307
1985,11864046
1986,12633964
1987,13128334
1988,14347031
1989,14732885
1990,17395914
1991,16854762
1992,17838020
1993,16325299
1994,15753494
1995,14895916
1996,13356861
1997,12014967
1998,11480438
1999,11686760
2000,12129079
2001,12116301
2002,10593526
2003,9592247
2004,9572719
2005,8661293
2006,9876924
2007,11390108
2008,10488934
2009,10395724
2010,10548848
2011,10403951
2012,10497028
2013,11698238
2014,14384302
2015,16110280
2016,17184291
2017,19940568
2018,20359556
2019,20444819