Year,COA,ISO3,pop
2019,Afghanistan,AFG,72227
2019,Albania,ALB,120
2019,Algeria,DZA,98599
2019,Angola,AGO,25793
2019,Egypt,EGY,258391
2019,Argentina,ARG,3857
2019,Armenia,ARM,17980
2019,Australia,AUS,76768
2019,Austria,AUT,135951
2019,Azerbaijan,AZE,1109
2019,Bahrain,BHR,251
2019,Burundi,BDI,78465
2019,Belgium,BEL,61662
2019,Benin,BEN,1238
2019,Bangladesh,BGD,854779
2019,Bahamas,BHS,10
2019,Burkina Faso,BFA,25869
2019,Belarus,BLR,2725
2019,Bolivia (Plurinational State of),BOL,863
2019,Botswana,BWA,1113
2019,Brazil,BRA,32844
2019,Bosnia and Herzegovina,BIH,5241
2019,Bulgaria,BGR,20438
2019,Belize,BLZ,29
2019,Canada,CAN,101757
2019,Central African Rep.,CAF,7170
2019,Cayman Islands,CYM,34
2019,Chad,TCD,442670
2019,China,CHN,303379
2019,Chile,CHL,2046
2019,Cameroon,CMR,406259
2019,Congo,COG,25668
2019,Dem. Rep. of the Congo,COD,523733
2019,Colombia,COL,634
2019,Costa Rica,CRI,6204
2019,Cuba,CUB,233
2019,Cyprus,CYP,12311
2019,Czechia,CZE,2054
2019,Denmark,DNK,37533
2019,Djibouti,DJI,19639
2019,Dominican Rep.,DOM,164
2019,Ecuador,ECU,104560
2019,Eritrea,ERI,199
2019,Estonia,EST,331
2019,Ethiopia,ETH,733123
2019,Fiji,FJI,12
2019,Finland,FIN,23458
2019,France,FRA,407915
2019,Gabon,GAB,454
2019,Gambia,GMB,4302
2019,United Kingdom of Great Britain and Northern Ireland,GBR,133083
2019,Georgia,GEO,1355
2019,Germany,DEU,1146682
2019,Ghana,GHA,11946
2019,Guinea-Bissau,GNB,1846
2019,Greece,GRC,80454
2019,Guatemala,GTM,408
2019,Guinea,GIN,4964
2019,Guyana,GUY,14
2019,"China, Hong Kong SAR",HKG,128
2019,Honduras,HND,75
2019,Croatia,HRV,916
2019,Hungary,HUN,5750
2019,Iceland,ISL,894
2019,Cote d'Ivoire,CIV,2020
2019,India,IND,195103
2019,Indonesia,IDN,10287
2019,Ireland,IRL,7795
2019,Iran (Islamic Rep. of),IRN,979435
2019,Iraq,IRQ,273986
2019,Israel,ISR,16107
2019,Italy,ITA,207602
2019,Jordan,JOR,693668
2019,Japan,JPN,1463
2019,Kazakhstan,KAZ,518
2019,Kenya,KEN,438899
2019,Kyrgyzstan,KGZ,347
2019,Rep. of Korea,KOR,3196
2019,Kuwait,KWT,686
2019,Liberia,LBR,8225
2019,Libya,LBY,4730
2019,Lebanon,LBN,916141
2019,Lesotho,LSO,143
2019,Liechtenstein,LIE,125
2019,Sri Lanka,LKA,1041
2019,Lithuania,LTU,1822
2019,Luxembourg,LUX,2548
2019,Latvia,LVA,665
2019,Madagascar,MDG,113
2019,Mauritania,MRT,84901
2019,North Macedonia,MKD,354
2019,Monaco,MCO,22
2019,Rep. of Moldova,MDA,417
2019,Mexico,MEX,28517
2019,Mali,MLI,26672
2019,Malaysia,MYS,129107
2019,Malawi,MWI,14087
2019,Morocco,MAR,6642
2019,Mozambique,MOZ,4713
2019,Malta,MLT,8908
2019,Montenegro,MNE,653
2019,Mauritius,MUS,20
2019,Namibia,NAM,3182
2019,Nepal,NPL,19570
2019,Netherlands,NLD,94417
2019,Niger,NER,179997
2019,Nicaragua,NIC,322
2019,Nigeria,NGA,54157
2019,Norway,NOR,53882
2019,Nauru,NRU,755
2019,New Zealand,NZL,2724
2019,Oman,OMN,308
2019,Pakistan,PAK,1419596
2019,Panama,PAN,2536
2019,Paraguay,PRY,1014
2019,Peru,PER,2850
2019,Philippines,PHL,680
2019,Papua New Guinea,PNG,9698
2019,Poland,POL,12658
2019,Portugal,PRT,2375
2019,Qatar,QAT,202
2019,Romania,ROU,3860
2019,South Africa,ZAF,89285
2019,Russian Federation,RUS,42413
2019,Rwanda,RWA,145054
2019,El Salvador,SLV,48
2019,Saudi Arabia,SAU,315
2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,26427
2019,Senegal,SEN,14467
2019,Sierra Leone,SLE,441
2019,Somalia,SOM,17882
2019,Spain,ESP,57751
2019,Saint Kitts and Nevis,KNA,5
2019,Sudan,SDN,1055489
2019,Suriname,SUR,44
2019,South Sudan,SSD,298309
2019,Slovakia,SVK,965
2019,Slovenia,SVN,741
2019,Eswatini,SWZ,940
2019,Sweden,SWE,253787
2019,Switzerland,CHE,110162
2019,Syrian Arab Rep.,SYR,16213
2019,United Rep. of Tanzania,TZA,242171
2019,Turks and Caicos Islands,TCA,5
2019,Thailand,THA,97556
2019,Tajikistan,TJK,3788
2019,Turkmenistan,TKM,21
2019,Togo,TGO,11964
2019,Trinidad and Tobago,TTO,2308
2019,Tunisia,TUN,1732
2019,Turkey,TUR,3579531
2019,United Arab Emirates,ARE,1242
2019,Uganda,UGA,1359458
2019,Ukraine,UKR,2166
2019,Uruguay,URY,498
2019,United States of America,USA,341715
2019,Uzbekistan,UZB,13
2019,Venezuela (Bolivarian Republic of),VEN,67749
2019,Yemen,YEM,268503
2019,Zambia,ZMB,57518
2019,Zimbabwe,ZWE,8956
2019,Curacao ,CUW,42
2019,Sint Maarten (Dutch part),SXM,5